Название,Издатель,Продажи (млн),Дата выхода,Жанр,Цена
S.T.A.L.K.E.R.: Shadow of Chernobyl,THQ,2.00m,20th Mar 07,"Action, RPG",$2.18
Chivalry: Medieval Warfare,Media.Vision,2.00m,16th Oct 12,"Action, Indie",$1.56
Surgeon Simulator,Bossa Studios,2.00m,19th Apr 13,"Action, Indie, Simulation",$3.17
Beat Saber,Beat Games,2.00m,21st May 19,Indie,$29.69
NBA 2K10,2K Sports,2.00m,06th Oct 09,Sports,"$1,371.84"
SpongeBob SquarePants: Battle for Bikini Bottom - Rehydrated,THQ Nordic,2.00m,23rd Jun 20,"Action, Adventure, Casual",$5.51
Vampyr,Focus Home Interactive,2.00m,05th Jun 18,"Action, RPG",$6.62
Persona 5 Strikers,Sega,2.00m,23rd Feb 21,"Action, Adventure",$4.09
Farming Simulator 19,Focus Home Interactive,2.00m,19th Nov 18,Simulation,$8.86
Dragon Age II,Electronic Arts,2.00m,08th Mar 11,"Action, Adventure, RPG",$7.75
Warhammer: Vermintide 2,Fatshark,2.00m,08th Mar 18,"Action, Indie, RPG",$3.05
Bloodstained: Ritual of the Night,505 Games,2.00m,18th Jun 19,"Action, Adventure, RPG",$3.52
Football Manager 2019,Sega,2.00m,02nd Nov 18,"Simulation, Sports",$49.99
Super Bomberman R,Konami,2.00m,03rd Mar 17,Action,$19.35
GreedFall,Focus Home Interactive,2.00m,10th Sep 19,RPG,$4.42
Leisure Suit Larry,Sierra Online,2.00m,05th Jul 87,Adventure,$9.99
Prototype,Activision,2.00m,09th Jun 09,"Action, Adventure",$19.99
The Crew,Ubisoft,2.00m,02nd Dec 14,"Action, Massively Multiplayer, Racing",$1.24
Destroy All Humans!,THQ,2.00m,21st Jun 05,"Action, Adventure",$3.20
Sifu,Sloclap,2.00m,08th Feb 22,"Action, Indie",$8.23
Cuphead - The Delicious Last Course,Studio MDHR,2.00m,30th Jun 22,"Action, Indie",$6.79
Return to Castle Wolfenstein,Activision,2.00m,19th Nov 01,Action,$1.46
Dead Island 2,Deep Silver,2.00m,21st Apr 23,"Action, Adventure",$17.34
Capcom Arcade 2nd Stadium,Capcom,2.00m,22nd Jul 22,Action,Free
Alan Wake 2,Epic Games,2.00m,27th Oct 23,"Action, Adventure",$37.09
Farming Simulator 25,Giants Software,2.00m,12th Nov 24,Simulation,$19.87
Kingdom Come: Deliverance II,Deep Silver,2.00m,04th Feb 25,"Action, Adventure, RPG",$46.14
Stellaris,Paradox Interactive,1.97m,09th May 16,"Simulation, Strategy",$9.68
Street Fighter X Tekken,Capcom,1.90m,06th Mar 12,Action,$175.30
Hitman: Contracts,Eidos Interactive,1.90m,20th Apr 04,Action,$0.70
Prince of Persia: Warrior Within,Ubisoft,1.90m,02nd Dec 04,"Action, Adventure",$1.99
Sunset Overdrive,Microsoft Studios,1.90m,28th Oct 14,"Action, Adventure",$3.43
Broforce,Devolver Digital,1.86m,07th Apr 14,"Action, Adventure, Casual + 1",$2.14
Pinball,Nintendo,1.85m,18th Oct 85,"Casual, Indie, Simulation",$24.99
Sonic Generations,Sega,1.85m,01st Nov 11,Action,$19.99
Secret of Mana,Square,1.83m,03rd Oct 93,"Action, RPG",$14.88
Wolfenstein: The New Order,Bethesda Softworks,1.82m,20th May 14,Action,$3.25
Friday the 13th: The Game,Gun Media,1.80m,26th May 17,Action,$86.54
Test Drive Unlimited 2,Atari,1.80m,08th Feb 11,Racing,$334.74
Yakuza: Like a Dragon,Sega,1.80m,10th Nov 20,"Action, Adventure, RPG",$6.69
Ori and the Blind Forest: Definitive Edition,Nordic Games,1.76m,14th Jun 16,Action,$2.32
Lost Planet: Extreme Condition,Capcom,1.70m,12th Jan 07,"Action, Adventure",$10.07
DuckTales: Remastered,Capcom,1.70m,13th Aug 13,"Action, Adventure, Casual",$3.27
Trials Fusion,Ubisoft,1.70m,15th Apr 14,Racing,$3.75
Brothers in Arms: Road to Hill 30,Ubisoft,1.70m,01st Mar 05,Action,$2.29
Manhunt,Rockstar Games,1.70m,19th Nov 03,Action,$4.36
Alan Wake Remastered,Epic Games,1.70m,05th Oct 21,Action,$25.49
Psychonauts,Majesco,1.70m,19th Apr 04,Action,$1.29
Game Dev Tycoon,Greenheart Games,1.70m,15th Mar 13,"Casual, Indie, Simulation + 1",$3.49
Aliens vs. Predator,Sega,1.69m,16th Feb 10,Action,$4.79
Sackboy: A Big Adventure,Sony Interactive Entertainment,1.62m,12th Nov 20,Adventure,$18.09
Dead Rising 4,Microsoft Studios,1.60m,06th Dec 16,Action,$2.69
Mega Man Legacy Collection,Capcom,1.60m,25th Aug 15,Action,$1.38
Tales of Symphonia,Namco,1.60m,13th Jul 04,RPG,$3.82
AudioSurf,Invisible Handlebar,1.56m,15th Feb 08,Indie,$8.83
Mark of the Ninja,Microsoft Studios,1.56m,16th Oct 12,"Action, Adventure, Indie",$8.81
Onimusha 3: Demon Siege,Capcom,1.52m,27th Apr 04,"Action, Adventure","$1,136.43"
How to Survive,505 Games,1.51m,23rd Oct 13,"Action, Adventure, RPG",$2.50
Turok 2: Seeds of Evil,Acclaim Entertainment,1.50m,21st Oct 98,"Action, Adventure",$3.09
Sonic CD,Sega,1.50m,19th Nov 93,"Action, Adventure",$8.47
Persona 4 Golden,Atlus,1.50m,20th Nov 12,RPG,$5.31
Slay the Spire,Mega Crit Games,1.50m,23rd Jan 19,"Indie, Strategy",$10.19
Remember Me,Capcom,1.50m,03rd Jun 13,"Action, Adventure",$2.96
Prince of Persia: The Two Thrones,Ubisoft,1.50m,01st Dec 05,"Action, Adventure",$1.81
Myst III: Exile,Ubisoft,1.50m,07th May 01,"Adventure, Casual",$3.64
Legacy of Kain: Soul Reaver,Eidos Interactive,1.50m,16th Aug 99,"Action, Adventure",$66.73
Bulletstorm,Electronic Arts,1.50m,22nd Feb 11,Action,$4.79
Ancestors: The Humankind Odyssey,Private Division,1.50m,27th Aug 19,"Action, Adventure, Indie + 1",$8.02
Tales of Vesperia: Definitive Edition,Namco Bandai Games,1.50m,11th Jan 19,RPG,$3.37
Metro 2033,THQ,1.50m,16th Mar 10,Action,$14.99
Marvel's Spider-Man Remastered,PlayStation PC,1.50m,12th Aug 22,"Action, Adventure, Casual",$27.51
Home Design 3D,Expert Software,1.50m,01st Jan 91,Simulation,$0.99
Romancing SaGa 2,Square,1.49m,10th Dec 93,RPG,$4.55
State of Decay,Microsoft Studios,1.49m,05th Nov 13,"Action, RPG, Simulation",$6.79
Rogue Legacy,Cellar Door Games,1.48m,27th Jun 13,"Action, Adventure, Indie + 1",$2.99
Alone in the Dark: The New Nightmare,Infogrames,1.40m,18th May 01,"Action, Adventure",$0.92
Puyo Puyo Tetris,Sega,1.40m,25th Apr 17,"Action, Casual",$4.49
Brutal Legend,Electronic Arts,1.40m,13th Oct 09,"Action, Adventure, Strategy",$3.55
Mega Man X Legacy Collection,Capcom,1.40m,24th Jul 18,Action,$2.63
The Room Three,Fireproof Games,1.38m,04th Nov 15,"Adventure, Indie",$5.99
Sonic & All-Stars Racing Transformed,Sega,1.36m,18th Nov 12,"Racing, Sports",$6.43
Amnesia: The Dark Descent,Frictional Games,1.36m,08th Sep 10,"Action, Adventure, Indie",$2.99
Hearts of Iron IV,Paradox Interactive,1.35m,06th Jun 16,"Simulation, Strategy",$14.65
Transistor,Unknown,1.33m,01st Apr 14,"Action, Indie, RPG",$5.16
Tomb Raider: Anniversary,Eidos Interactive,1.31m,05th Jun 07,"Action, Adventure",$0.98
Aliens: Colonial Marines,Sega,1.31m,12th Feb 13,Action,$2.38
Romancing SaGa 3,Square,1.30m,11th Nov 95,RPG,$7.44
Ryse: Son of Rome,Microsoft Studios,1.30m,22nd Nov 13,Action,$4.63
Bionic Commando,Capcom,1.30m,19th May 09,"Action, Adventure",$0.79
Deus Ex: Invisible War,Eidos Interactive,1.30m,02nd Dec 03,Action,$0.97
The Longest Journey,Tri Synergy,1.30m,16th Nov 00,"Action, Adventure, RPG",$2.49
Pillars of Eternity,Paradox Interactive,1.28m,26th Mar 15,RPG,$9.13
Kingdoms of Amalur: Reckoning,Electronic Arts,1.22m,07th Feb 12,"Action, RPG",$2.37
Age of Wonders,Paradox Interactive,1.21m,11th Nov 99,"RPG, Strategy",$1.00
Dino Crisis 2,Capcom,1.20m,29th Sep 00,Action,$9.99
Unreal Tournament 3,Midway Games,1.20m,19th Nov 07,Action,$56.01
Homefront: The Revolution,Deep Silver,1.20m,17th May 16,"Action, Adventure",$2.85
Endless,Iceberg Interactive,1.20m,04th Jul 12,"Casual, Indie, RPG + 1",$0.99
Super Street Fighter IV: Arcade Edition,Capcom,1.20m,16th Dec 10,Action,$5.17
Mortal Kombat Komplete Edition,Warner Bros. Interactive Entertainment,1.19m,06th Aug 13,Action,$19.99
Legend of Grimrock,Almost Human,1.16m,11th Apr 12,"Adventure, Indie, RPG",$2.50
Deus Ex: Mankind Divided,Square Enix,1.16m,23rd Aug 16,"Action, RPG",$2.68
LEGO City Undercover,Nintendo,1.15m,18th Mar 13,Action,$2.44
Conan Exiles,Maximum Games,1.14m,08th May 18,"Action, Adventure, Massively Multiplayer + 3",$7.23
Kane & Lynch 2: Dog Days,Square Enix,1.12m,17th Aug 10,Action,$5.19
Orcs Must Die!,Unknown,1.11m,11th Oct 11,"Action, Indie, Strategy",$0.99
Half-Life: Opposing Force,Sierra Entertainment,1.10m,01st Nov 99,Action,$4.99
StarCraft II: Heart of the Swarm,Blizzard Entertainment,1.10m,12th Mar 13,Strategy,$29.99
The Great Ace Attorney Chronicles,Capcom,1.10m,27th Jul 21,Adventure,$10.05
The Texas Chain Saw Massacre,Gun Interactive,1.10m,18th Aug 23,"Action, Indie",$9.50
F.E.A.R. 3,Warner Bros. Interactive,1.10m,21st Jun 11,Action,$1.43
Sniper: Ghost Warrior 2,City Interactive,1.09m,12th Mar 13,Action,$0.99
To the Moon,Unknown,1.09m,01st Nov 11,"Adventure, Indie, RPG",$1.99
Supreme Commander 2,Square Enix,1.05m,02nd Mar 10,Strategy,$3.27
Titan Quest,THQ,1.04m,26th Jun 06,"Action, RPG",$1.85
Hotline Miami 2: Wrong Number,Devolver Digital,1.04m,10th Mar 15,"Action, Indie",$1.69
Serious Sam HD: The First Encounter,Devolver Digital,1.03m,24th Nov 09,"Action, Indie",$3.72
Returnal,Sony Interactive Entertainment,1.02m,30th Apr 21,Action,$24.47
Braid,Number None,1.01m,10th Apr 09,"Casual, Indie, Strategy",$6.01
Legend of Mana,Square,1.00m,07th Jun 00,"Action, RPG",$11.02
Quake III Arena,Activision,1.00m,02nd Dec 99,Action,$4.38
Indiana Jones and the Fate of Atlantis,LucasArts,1.00m,01st Jan 92,Adventure,$0.94
UNO,Microsoft,1.00m,09th May 06,Casual,$2.99
Crusader Kings II,Paradox Interactive,1.00m,07th Feb 12,"RPG, Simulation, Strategy",Free
Don't Starve,Klei Entertainment,1.00m,23rd Apr 13,"Adventure, Indie, Simulation",$3.64
Europa Universalis IV,Paradox Interactive,1.00m,06th Mar 14,"Simulation, Strategy",$5.50
Wargame: Red Dragon,Focus Home Interactive,1.00m,01st Jul 14,"Indie, Simulation, Strategy",$8.09
Killing Floor 2,Tripwire Interactive,1.00m,18th Nov 16,Action,$2.31
Gears of War: Ultimate Edition,Microsoft Studios,1.00m,25th Aug 15,Action,$17.49
Danganronpa: Trigger Happy Havoc,Spike Chunsoft,1.00m,18th Feb 16,Adventure,$13.18
Danganronpa 2: Goodbye Despair,Spike Chunsoft,1.00m,18th Apr 16,Adventure,$13.58
Football Manager 2017,Sega,1.00m,04th Nov 16,"Simulation, Sports",$53.18
Total War: Three Kingdoms,Sega,1.00m,23rd May 19,"Action, Strategy",$9.04
The Stanley Parable,Galactic Cafe,1.00m,17th Oct 13,"Adventure, Indie",$11.19
Two Point Hospital,Sega,1.00m,30th Aug 18,"Indie, Simulation",$7.29
My Time At Portia,Team17 Digital Ltd,1.00m,15th Jan 19,"Adventure, Casual, Indie + 2",$4.55
Risk of Rain 2,Gearbox Publishing,1.00m,28th Mar 19,"Action, Indie",$7.34
Planet Zoo,Frontier Developments,1.00m,05th Nov 19,"Casual, Simulation, Strategy",$6.64
Untitled Goose Game,Panic,1.00m,20th Sep 09,"Action, Indie",$8.99
Moonlighter,11 bit studios,1.00m,29th May 18,"Action, Adventure, Indie",$1.37
Sonic Mania,Sega,1.00m,15th Aug 17,"Action, Adventure, Casual",$4.59
Lara Croft and the Guardian of Light,Square Enix,1.00m,18th Aug 10,"Action, Adventure",$1.87
Tony Hawk's Pro Skater 1 + 2,Activision,1.00m,04th Sep 20,Sports,$15.99
Rayman 3: Hoodlum Havoc,Ubisoft,1.00m,04th Mar 03,"Action, Adventure",$1.50
Granblue Fantasy: Versus,Xseed Games,1.00m,03rd Mar 20,Action,$17.17
Sakuna: Of Rice and Ruin,Xseed Games,1.00m,10th Nov 20,"Action, Indie",$17.67
SnowRunner,Focus Home Interactive,1.00m,28th Apr 20,"Adventure, Simulation",$13.07
Outward,Deep Silver,1.00m,26th Mar 19,RPG,$1.98
Farming Simulator 17,Giants Software,1.00m,24th Oct 16,Simulation,$3.42
Inside,Playdead,1.00m,29th Jun 16,"Action, Indie",$4.99
Hades,Supergiant Games,1.00m,17th Sep 20,"Action, Indie, RPG",$21.53
Return to Zork,Infocom,1.00m,15th Sep 93,Adventure,$5.99
Sniper Elite V2,Rebellion Developments,1.00m,02nd May 12,Action,$6.92
Valkyria Chronicles 4,Sega,1.00m,25th Sep 18,"Action, RPG, Strategy",$8.26
Hellblade: Senua's Sacrifice,Ninja Theory,1.00m,08th Aug 17,"Action, Adventure, Indie",$4.55
Salt and Sanctuary,Ska Studios,1.00m,15th Mar 16,"Action, Indie, RPG",$13.46
FlatOut,Vivendi Games,1.00m,12th Jul 05,"Action, Racing, Simulation",$0.99
FlatOut 2,Empire Interactive,1.00m,30th Jun 06,Racing,$1.89
60 Seconds!,Robot Gentleman Studios,1.00m,25th May 15,"Adventure, Casual, Indie + 2",$8.99
Celeste,Matt Makes Games Inc.,1.00m,25th Jan 18,"Action, Adventure, Indie",$5.50
Trials of Mana,Square Enix,1.00m,24th Apr 20,RPG,$18.02
A Hat in Time,Gears for Breakfast,1.00m,05th Oct 17,"Adventure, Indie",$15.28
Oxenfree,Night School Studio,1.00m,15th Jan 16,"Adventure, Indie",$4.29
Thomas Was Alone,Mike Bithell Games,1.00m,30th Jun 12,Indie,$1.25
A Plague Tale: Innocence,Focus Home Interactive,1.00m,14th May 19,"Action, Adventure",$5.14
Quake II,Activision,1.00m,09th Dec 97,Action,$0.96
The Vanishing of Ethan Carter,The Astronauts,1.00m,26th Sep 14,"Adventure, Indie",$1.87
Caesar,Sierra Online,1.00m,12th Oct 92,Strategy,$5.99
The Bard's Tale,inXile Entertainment,1.00m,26th Oct 04,"Action, Adventure, RPG",$3.24
Phantasmagoria,Sierra Online,1.00m,24th Aug 95,Adventure,$9.32
Police Quest: SWAT,Sierra Online,1.00m,30th Sep 95,"Action, Simulation, Strategy",$5.99
Stranglehold,Midway Games,1.00m,07th Sep 07,Action,$1.99
Judgment,Sega,1.00m,25th Jun 19,"Action, Adventure",$11.49
Thief Simulator,Forever Entertainment S.A.,1.00m,16th May 19,"Action, Adventure, Indie + 1",$1.80
Depth,Digital Confectioners,1.00m,03rd Nov 14,"Action, Indie",$6.08
Dust: An Elysian Tail,Microsoft Studios,1.00m,15th Aug 12,"Action, Adventure, Indie + 1",$3.74
Chivalry 2,Tripwire Interactive,1.00m,08th Jun 21,"Action, Massively Multiplayer",$5.73
Unpacking,Humble Bundle,1.00m,02nd Nov 21,"Casual, Indie, Simulation",$8.40
Forts,EarthWork Games,1.00m,19th Apr 17,"Action, Indie, Strategy",$7.44
Earthworm Jim,Playmates,1.00m,01st Oct 94,Action,$9.99
Escape Simulator,Pine Studio,1.00m,19th Oct 21,"Adventure, Casual, Indie + 1",$9.67
Wo Long: Fallen Dynasty,Koei Tecmo,1.00m,03rd Mar 23,"Action, Adventure, RPG",$33.91
Teenage Mutant Ninja Turtles: Shredder's Revenge,DotEmu,1.00m,16th Jun 22,"Action, Adventure, Casual + 1",$13.28
Baldur's Gate: Enhanced Edition,Beamdog,1.00m,28th Nov 12,"Adventure, RPG",$2.42
Full Spectrum Warrior,THQ,1.00m,01st Jun 04,"Action, Strategy",$1.28
Teenage Mutant Ninja Turtles: The Cowabunga Collection,Konami,1.00m,30th Aug 22,Action,$9.34
Cities: Skylines II,Paradox Interactive,1.00m,24th Oct 23,Simulation,$17.18
Dread Hunger,Digital Confectioners,1.00m,26th Jan 22,"Action, Adventure, Indie",$13.99
DREDGE,Team17,1.00m,30th Mar 23,"Adventure, RPG",$9.52
Lies of P,Neowiz Corporation,1.00m,18th Sep 23,"Action, Adventure, RPG",$22.38
Stellar Blade,Sony Interactive Entertainment,1.00m,26th Apr 24,"Action, Adventure, RPG",$84.99
Like a Dragon: Infinite Wealth,Sega,1.00m,25th Jan 24,"Action, Adventure, RPG",$26.68
Persona 3 Reload,Sega,1.00m,02nd Feb 24,"Adventure, RPG, Strategy",$29.89
Granblue Fantasy: Relink,Cygames,1.00m,01st Feb 24,"Action, Adventure, RPG",$46.66
Mortal Shell,Playstack,1.00m,18th Aug 20,"Action, RPG",$3.73
Metal: Hellsinger,Funcom,1.00m,15th Sep 22,"Action, Adventure",$2.71
The Exit 8,Kotake Create,1.00m,29th Nov 23,"Adventure, Indie, Simulation",$3.99
Metaphor: ReFantazio,Sega,1.00m,11th Oct 24,"Action, Adventure, RPG",$32.42
Mega Man X Legacy Collection 2,Capcom,1.00m,24th Jul 18,Action,$2.87
S.T.A.L.K.E.R. 2: Heart of Chornobyl,GSC Game World,1.00m,20th Nov 24,"Action, Adventure, RPG",$31.95
"Warhammer 40,000: Rogue Trader",Owlcat Games,1.00m,07th Dec 23,"Adventure, Indie, RPG + 1",$14.82
Deep Rock Galactic: Survivor,Coffee Stain Publishing,1.00m,14th Feb 24,"Action, Early Access",$12.32
Pacific Drive,Kepler Interactive,1.00m,22nd Feb 24,"Action, Adventure, Indie + 2",$12.74
Gauntlet,Mindscape,1.00m,01st Jan 88,"Action, Indie",$1.30
Vanquish,Sega,0.97m,19th Oct 10,Action,$5.46
Hammerwatch,Unknown,0.96m,14th Aug 13,"Action, Adventure, Indie + 1",$1.16
Poker Night at the Inventory,Telltale Games,0.95m,22nd Nov 10,"Casual, Sports",$92.60
Mount Your Friends,Unknown,0.94m,29th Jul 14,"Indie, Simulation, Sports",$2.25
Exoprimal,Capcom,0.94m,14th Jul 23,Action,$10.02
Zombie Army Trilogy,Rebellion Developments,0.94m,06th Mar 15,Action,$3.19
The Talos Principle,Devolver Digital,0.93m,11th Dec 14,"Action, Adventure, Indie",$0.27
Portal Knights,505 Games,0.91m,25th Feb 16,"Action, Adventure, RPG",$4.28
Spelunky,"Mossmouth, LLC",0.91m,21st Dec 08,Indie,$10.88
Ni no Kuni II: Revenant Kingdom,Bandai Namco Entertainment,0.90m,23rd Mar 18,"Adventure, RPG",$7.55
Call of Juarez: Bound in Blood,Ubisoft,0.90m,30th Jun 09,Action,$1.57
Reus,Abbey Games,0.90m,16th May 13,"Indie, Simulation, Strategy",$3.90
Duke Nukem Forever,2K Games,0.89m,14th Jun 11,Action,$0.71
Magicka 2,Paradox Interactive,0.86m,26th May 15,"Action, Adventure",$8.03
Red Orchestra: Ostfront 41-45,Tripwire Interactive,0.85m,14th Mar 06,Action,$1.24
SUPERHOT,SUPERHOT Team,0.84m,25th Feb 16,"Action, Indie",$2.83
Worldwide Soccer Manager 2008,Sega,0.84m,23rd Oct 07,"Simulation, Sports",$0.76
Predator: Hunting Grounds,Sony Computer Entertainment,0.83m,24th Apr 20,Action,$15.35
Dungeon Siege III,Square Enix,0.82m,21st Jun 11,"Action, RPG",$3.06
theHunter: Call of the Wild,Maximum Games,0.82m,07th Mar 17,"Adventure, Simulation, Sports",$3.19
Half-Life: Blue Shift,Sierra Entertainment,0.80m,12th Jun 01,Action,$4.99
Yakuza 6: The Song of Life,Sega,0.80m,17th Apr 18,"Action, Adventure",$5.79
Imperialism,Strategic Simulations,0.80m,03rd Sep 97,Strategy,$2.50
Deadlight,Microsoft Studios,0.80m,25th Oct 12,"Action, Adventure, Indie",$1.88
Nidhogg,Messhof,0.79m,13th Jan 14,"Action, Indie, Sports",$8.63
Red Faction: Armageddon,THQ,0.79m,07th Jun 11,Action,$1.06
VVVVVV,Terry Cavanagh,0.76m,11th Jan 10,"Action, Indie",$1.04
Defy Gravity Extended,Unknown,0.75m,25th Jul 11,"Action, Casual, Indie",$0.72
Universe Sandbox,Unknown,0.75m,29th Apr 11,"Casual, Early Access, Indie + 1",$12.78
Wizards & Warriors,Acclaim Entertainment,0.75m,01st Dec 87,"Adventure, RPG",$5.99
Homeworld Remastered Collection,Gearbox Software,0.73m,25th Feb 15,"Simulation, Strategy",$1.81
Bendy and the Ink Machine,Joey Drew Studios Inc.,0.72m,28th Feb 18,"Action, Adventure, Indie + 1",$7.99
Risen 2: Dark Waters,Deep Silver,0.71m,26th Apr 12,RPG,$1.43
Sonic Lost World,Sega,0.71m,29th Oct 13,Adventure,$3.27
Sonic 3D Blast,Sega,0.70m,01st Nov 96,"Action, Adventure",$4.99
de Blob,THQ,0.70m,22nd Sep 08,"Action, Adventure, Casual + 1",$3.35
Gone Home,The Fullbright Company,0.70m,15th Aug 13,"Adventure, Indie",$4.49
Egypt,Cryo Interactive,0.70m,01st Jan 97,"Action, Indie, RPG + 2",$0.99
Tennis World Tour,Bigben Interactive,0.70m,22nd May 18,Sports,$1.40
Democracy 3,Positech Games,0.69m,14th Oct 13,"Indie, Simulation, Strategy",$9.13
SpaceChem,Unknown,0.68m,02nd Mar 11,"Indie, Simulation",$3.26
Company of Heroes 2,Sega,0.68m,25th Jun 13,Strategy,$2.85
One Finger Death Punch,Silver Dollar Games,0.67m,03rd Mar 14,"Action, Casual, Indie",$1.56
BIT.TRIP RUNNER,Gaijin Entertainment,0.65m,28th Feb 11,"Action, Indie",$2.87
Rock of Ages,Atlus,0.64m,07th Sep 11,"Action, Indie, Racing + 1",$5.97
Hand of Fate,Defiant Development,0.62m,17th Feb 15,"Action, Indie, RPG",$3.70
Pixel Piracy,Re-Logic,0.62m,23rd Apr 15,"Adventure, Indie, RPG + 1",$9.64
Machinarium,Amanita Design,0.61m,16th Oct 09,"Adventure, Indie",$3.04
Beat Hazard,Cold Beam Games,0.60m,15th Apr 10,"Action, Casual, Indie",$0.78
Wolfenstein: The Old Blood,Bethesda Softworks,0.60m,05th May 15,Action,$3.65
Oddworld: Stranger's Wrath HD,Electronic Arts,0.60m,25th Jan 05,"Action, Adventure, Strategy",$0.65
Mini Ninjas,Eidos Interactive,0.60m,08th Sep 09,"Action, Adventure",$1.54
Bloodstained: Curse of the Moon,Inti Creates,0.60m,24th May 18,Action,$9.99
Omikron: The Nomad Soul,Eidos Interactive,0.60m,05th Nov 99,RPG,$2.24
Syberia II,MC2 Entertainment,0.60m,30th Mar 04,Adventure,$1.04
Wartales,Shiro Games,0.60m,01st Dec 21,"Adventure, Indie, RPG + 1",$19.24
F1 Manager 2022,Frontier Developments,0.60m,30th Aug 22,"Simulation, Strategy",$28.20
Montezuma's Revenge,Parker Brothers,0.60m,01st Jan 84,"Action, Adventure",$8.99
Lucius,Lace Mamba Global,0.60m,30th Jun 12,"Action, Adventure, Indie",$1.49
Black Mesa,Valve Corporation,0.60m,14th Sep 12,"Action, Adventure, Indie",$4.99
Hyper Light Drifter,Rebellion Games,0.60m,31st Mar 16,"Action, Adventure, Indie + 1",$11.72
Tales from the Borderlands,Telltale Games,0.59m,25th Nov 14,Adventure,$8.87
Cave Story+,Studio Pixel,0.59m,23rd Nov 11,"Action, Adventure, Indie",$5.46
Hitman: Codename 47,Eidos Interactive,0.59m,23rd Nov 00,Action,$0.61
Fable Anniversary,Microsoft Studios,0.58m,12th Sep 14,RPG,$22.02
Octodad: Dadliest Catch,Young Horses,0.58m,30th Jan 14,"Action, Adventure, Indie",$4.50
The Last Remnant,Square Enix,0.58m,20th Nov 08,RPG,$55.81
I Am Bread,Bossa Studios,0.58m,09th Apr 15,"Action, Adventure, Indie + 1",$1.99
ABZU,505 Games,0.58m,02nd Aug 16,"Adventure, Casual, Indie + 1",$3.20
Anomaly: Warzone Earth,Unknown,0.57m,08th Apr 11,"Action, Indie, Strategy",$0.72
Defense Grid: The Awakening,Hidden Path Entertainment,0.56m,08th Dec 08,"Indie, Strategy",$1.78
Dungeons of Dredmor,Unknown,0.55m,13th Jul 11,"Casual, Indie, RPG",$5.90
Door Kickers,KillHouse Games,0.55m,20th Oct 13,"Action, Indie, Simulation + 1",$4.99
Saints Row: Gat out of Hell,Deep Silver,0.54m,20th Jan 15,Action,$2.30
Out There Somewhere,Unknown,0.52m,21st Feb 12,"Action, Adventure, Indie",$4.42
Alan Wake's American Nightmare,Remedy Entertainment,0.52m,22nd May 12,"Action, Adventure",$1.16
Murdered: Soul Suspect,Square Enix,0.51m,03rd Jun 14,"Action, Adventure, RPG",$2.51
Total Annihilation,GT Interactive,0.50m,25th Oct 97,Strategy,$0.99
Blade of Darkness,Codemasters,0.50m,19th Feb 01,"Action, RPG",$5.81
Commandos 2: Men of Courage,Eidos Interactive,0.50m,20th Sep 01,Strategy,$1.45
Gothic 3,Aspyr,0.50m,14th Nov 06,"Action, RPG",$1.19
The 11th Hour,Virgin Interactive,0.50m,30th Nov 95,Adventure,$3.98
Magicka: Vietnam,Paradox Interactive,0.50m,21st Apr 11,"Action, RPG",$2.68
Insurgency: Sandstorm,Focus Home Interactive,0.50m,12th Dec 18,Action,$9.06
Rune Factory 5,Marvelous Entertainment,0.50m,22nd Mar 22,"Adventure, RPG, Simulation",$15.58
Songs of Conquest,Coffee Stain Publishing,0.50m,20th May 24,"Adventure, RPG, Strategy",$11.89
Atelier Ryza: Ever Darkness & the Secret Hideout,Koei Tecmo,0.50m,29th Oct 19,RPG,$28.35
Yakuza 0,Sega,0.50m,24th Jan 17,"Action, Adventure, RPG",$13.52
Hello Neighbor,TinyBuild Games,0.50m,08th Dec 17,"Adventure, Indie, Strategy",$2.29
Wizard of Legend,Humble Bundle,0.50m,15th May 18,"Action, Adventure, Indie",$5.00
My Friend Pedro,Devolver Digital,0.50m,20th Jun 19,"Action, Indie",$3.17
Captain Tsubasa: Rise of New Champions,Bandai Namco Entertainment,0.50m,28th Aug 20,"Action, Casual, RPG + 1",$4.39
Dreamfall Chapters,Deep Silver,0.50m,21st Oct 14,"Adventure, Indie",$7.51
Still Life,The Adventure Company,0.50m,27th Feb 03,Adventure,$0.97
Caesar II,Sierra Online,0.50m,04th Sep 95,Strategy,$5.99
Conquest of the New World,Interplay Productions,0.50m,31st Mar 96,Strategy,$9.99
Time Commando,Activision,0.50m,31st Jul 96,Action,$1.19
Blackguards,Daedalic Entertainment,0.50m,24th Jan 14,"Action, Adventure, Indie + 2",$0.37
Freddy Pharkas: Frontier Pharmacist,Sierra Online,0.50m,01st Jan 93,Adventure,$5.99
Doki Doki Literature Club Plus!,Serenity Forge,0.50m,30th Jun 21,"Casual, Indie",$14.99
Mini Motorways,Dinosaur Polo Club,0.50m,19th Sep 19,"Casual, Indie, Simulation + 1",$7.99
Core Keeper,Fireshine Games,0.50m,08th Mar 22,"Adventure, Casual, Indie + 1",$8.75
Victoria 3,Paradox Interactive,0.50m,25th Oct 22,"Simulation, Strategy",$13.56
Digimon Survive,Bandai Namco Entertainment,0.50m,29th Jul 22,RPG,$9.30
Evil Dead: The Game,Boss Team Games,0.50m,13th May 22,Action,$6.95
Temtem,Humble Bundle,0.50m,06th Sep 22,"Adventure, Indie, Massively Multiplayer + 1",$6.98
